lon_ev,lat_ev,id-ev,lon-quarry,lat-quarry
-8.1917,54.10468,dias2014wnnq,-8.183134,54.098751
-7.52724,54.55046,dias2013yugn,-7.513353,54.594265
-7.35094,53.62545,dias2014qvqq,-7.328323,53.613267
-7.35094,53.62545,dias2014qvqq,-7.355447,53.600614
-8.23854,51.88473,dias2014tpbz,-8.26059062182,51.8921622554
-6.59969,54.31406,dias2013qvol,-6.614601,54.305642
-6.59969,54.31406,dias2013qvol,-6.583999,54.306512
-6.57423,54.24878,dias2014hiyr,-6.583999,54.306512
-6.56038,54.25019,dias2013tyau,-6.586716,54.251849
-6.55995,54.24979,dias2014bnmg,-6.586716,54.251849
-6.57423,54.24878,dias2014hiyr,-6.586716,54.251849
-6.56038,54.25019,dias2013tyau,-6.582737,54.238074
-6.55995,54.24979,dias2014bnmg,-6.582737,54.238074
-6.57423,54.24878,dias2014hiyr,-6.582737,54.238074
-8.23854,51.88473,dias2014tpbz,-8.224653,51.905046
-5.88553,54.43264,dias2014dixc,-5.907264,54.420773
-5.88553,54.43264,dias2014dixc,-5.89931,54.414529
-5.93859,54.50089,dias2014rrpl,-5.938125,54.489477
-5.93859,54.50089,dias2014rrpl,-5.927785,54.50423
-5.73839,54.63351,dias2014igre,-5.760448,54.617476
-5.73839,54.63351,dias2014igre,-5.729835,54.609936
-7.40236,54.24609,dias2014miwo,-7.382784,54.226741
-7.40282,54.24593,dias2014sgdl,-7.382784,54.226741
-7.52724,54.55046,dias2013yugn,-7.573405,54.539704
-7.40236,54.24609,dias2014miwo,-7.420641,54.268906
-7.40282,54.24593,dias2014sgdl,-7.420641,54.268906
-9.02788,53.31938,dias2013mmlz,-9.042555,53.301873
-9.02788,53.31938,dias2013mmlz,-9.007666,53.309199
-7.17621,52.59248,dias2014qtwi,-7.178395,52.61665
-7.17819,52.59431,dias2014sree,-7.178395,52.61665
-7.17621,52.59248,dias2014qtwi,-7.200083,52.598471
-7.17819,52.59431,dias2014sree,-7.200083,52.598471
-9.08722,52.577,dias2014xhvj,-9.035784,52.57387
-9.08722,52.577,dias2014xhvj,-9.080624,52.527193
-6.34798,53.6906,dias2014twhf,-6.308397,53.723098
-6.35681,53.68278,dias2014pslq,-6.37141,53.643285
-6.41499,53.66556,dias2014rrna,-6.37141,53.643285
-6.34798,53.6906,dias2014twhf,-6.37141,53.643285
-6.41499,53.66556,dias2014rrna,-6.439876,53.665196
-6.35681,53.68278,dias2014pslq,-6.397679,53.68281
-6.41499,53.66556,dias2014rrna,-6.397679,53.68281
-6.34798,53.6906,dias2014twhf,-6.397679,53.68281
-6.88284,53.4854,dias2014gyah,-6.856989,53.442633
-6.88284,53.4854,dias2014gyah,-6.834651,53.497452
-8.17115,54.11401,dias2013ounh,-8.182796,54.099039
-8.18018,54.11798,dias2013tsuh,-8.182796,54.099039
-8.17511,54.11614,dias2014cmzm,-8.182796,54.099039
-8.1859,54.11241,dias2014kmyn,-8.182796,54.099039
-8.1838,54.11044,dias2014qhgf,-8.182796,54.099039
-8.1917,54.10468,dias2014wnnq,-8.182796,54.099039
-8.17115,54.11401,dias2013ounh,-8.183134,54.098751
-8.18018,54.11798,dias2013tsuh,-8.183134,54.098751
-8.17511,54.11614,dias2014cmzm,-8.183134,54.098751
-8.1859,54.11241,dias2014kmyn,-8.183134,54.098751
-8.1838,54.11044,dias2014qhgf,-8.183134,54.098751
-8.1917,54.10468,dias2014wnnq,-8.183134,54.098751
-7.52724,54.55046,dias2013yugn,-7.513353,54.594265
-7.35094,53.62545,dias2014qvqq,-7.328323,53.613267
-7.35094,53.62545,dias2014qvqq,-7.355447,53.600614
-8.23854,51.88473,dias2014tpbz,-8.26059062182,51.8921622554
-6.59969,54.31406,dias2013qvol,-6.614601,54.305642
-6.59969,54.31406,dias2013qvol,-6.583999,54.306512
-6.56038,54.25019,dias2013tyau,-6.583999,54.306512
-6.55995,54.24979,dias2014bnmg,-6.583999,54.306512
-6.57423,54.24878,dias2014hiyr,-6.583999,54.306512
-6.56038,54.25019,dias2013tyau,-6.586716,54.251849
-6.55995,54.24979,dias2014bnmg,-6.586716,54.251849
-6.57423,54.24878,dias2014hiyr,-6.586716,54.251849
-6.56038,54.25019,dias2013tyau,-6.582737,54.238074
-6.55995,54.24979,dias2014bnmg,-6.582737,54.238074
-6.57423,54.24878,dias2014hiyr,-6.582737,54.238074
-8.23854,51.88473,dias2014tpbz,-8.224653,51.905046
-5.88553,54.43264,dias2014dixc,-5.907264,54.420773
-5.88553,54.43264,dias2014dixc,-5.89931,54.414529
-5.93859,54.50089,dias2014rrpl,-5.938125,54.489477
-5.93859,54.50089,dias2014rrpl,-5.927785,54.50423
-5.73839,54.63351,dias2014igre,-5.760448,54.617476
-5.73839,54.63351,dias2014igre,-5.729835,54.609936
-7.40236,54.24609,dias2014miwo,-7.382784,54.226741
-7.40282,54.24593,dias2014sgdl,-7.382784,54.226741
-7.52724,54.55046,dias2013yugn,-7.573405,54.539704
-7.40236,54.24609,dias2014miwo,-7.420641,54.268906
-7.40282,54.24593,dias2014sgdl,-7.420641,54.268906
-9.02788,53.31938,dias2013mmlz,-9.042555,53.301873
-9.02788,53.31938,dias2013mmlz,-9.007666,53.309199
-7.17621,52.59248,dias2014qtwi,-7.178395,52.61665
-7.17819,52.59431,dias2014sree,-7.178395,52.61665
-7.17621,52.59248,dias2014qtwi,-7.200083,52.598471
-7.17819,52.59431,dias2014sree,-7.200083,52.598471
-9.08722,52.577,dias2014xhvj,-9.035784,52.57387
-9.08722,52.577,dias2014xhvj,-9.080624,52.527193
-6.34798,53.6906,dias2014twhf,-6.308397,53.723098
-6.35681,53.68278,dias2014pslq,-6.37141,53.643285
-6.41499,53.66556,dias2014rrna,-6.37141,53.643285
-6.34798,53.6906,dias2014twhf,-6.37141,53.643285
-6.41499,53.66556,dias2014rrna,-6.439876,53.665196
-6.35681,53.68278,dias2014pslq,-6.397679,53.68281
-6.41499,53.66556,dias2014rrna,-6.397679,53.68281
-6.34798,53.6906,dias2014twhf,-6.397679,53.68281
-6.88284,53.4854,dias2014gyah,-6.856989,53.442633
-6.88284,53.4854,dias2014gyah,-6.834651,53.497452
-8.17115,54.11401,dias2013ounh,-8.182796,54.099039
-8.18018,54.11798,dias2013tsuh,-8.182796,54.099039
-8.17511,54.11614,dias2014cmzm,-8.182796,54.099039
-8.1859,54.11241,dias2014kmyn,-8.182796,54.099039
-8.1838,54.11044,dias2014qhgf,-8.182796,54.099039
-8.1917,54.10468,dias2014wnnq,-8.182796,54.099039
-8.17115,54.11401,dias2013ounh,-8.183134,54.098751
-8.18018,54.11798,dias2013tsuh,-8.183134,54.098751
-8.17511,54.11614,dias2014cmzm,-8.183134,54.098751
-8.1859,54.11241,dias2014kmyn,-8.183134,54.098751
-8.1838,54.11044,dias2014qhgf,-8.183134,54.098751
-8.1917,54.10468,dias2014wnnq,-8.183134,54.098751
-7.52724,54.55046,dias2013yugn,-7.513353,54.594265
-7.35094,53.62545,dias2014qvqq,-7.328323,53.613267
-7.35094,53.62545,dias2014qvqq,-7.355447,53.600614
-8.23854,51.88473,dias2014tpbz,-8.26059062182,51.8921622554
-6.59969,54.31406,dias2013qvol,-6.614601,54.305642
-6.59969,54.31406,dias2013qvol,-6.583999,54.306512
-6.56038,54.25019,dias2013tyau,-6.583999,54.306512
-6.55995,54.24979,dias2014bnmg,-6.583999,54.306512
-6.57423,54.24878,dias2014hiyr,-6.583999,54.306512
-6.59969,54.31406,dias2013qvol,-6.586716,54.251849
-6.56038,54.25019,dias2013tyau,-6.586716,54.251849
-6.55995,54.24979,dias2014bnmg,-6.586716,54.251849
-6.57423,54.24878,dias2014hiyr,-6.586716,54.251849
-6.56038,54.25019,dias2013tyau,-6.582737,54.238074
-6.55995,54.24979,dias2014bnmg,-6.582737,54.238074
-6.57423,54.24878,dias2014hiyr,-6.582737,54.238074
-8.23854,51.88473,dias2014tpbz,-8.224653,51.905046
-5.88553,54.43264,dias2014dixc,-5.907264,54.420773
-5.88553,54.43264,dias2014dixc,-5.89931,54.414529
-5.93859,54.50089,dias2014rrpl,-5.938125,54.489477
-5.93859,54.50089,dias2014rrpl,-5.927785,54.50423
-5.73839,54.63351,dias2014igre,-5.760448,54.617476
-5.73839,54.63351,dias2014igre,-5.729835,54.609936
-7.40236,54.24609,dias2014miwo,-7.382784,54.226741
-7.40282,54.24593,dias2014sgdl,-7.382784,54.226741
-7.52724,54.55046,dias2013yugn,-7.573405,54.539704
-7.40236,54.24609,dias2014miwo,-7.420641,54.268906
-7.40282,54.24593,dias2014sgdl,-7.420641,54.268906
-9.02788,53.31938,dias2013mmlz,-9.042555,53.301873
-9.02788,53.31938,dias2013mmlz,-9.007666,53.309199
-7.17621,52.59248,dias2014qtwi,-7.178395,52.61665
-7.17819,52.59431,dias2014sree,-7.178395,52.61665
-7.17621,52.59248,dias2014qtwi,-7.200083,52.598471
-7.17819,52.59431,dias2014sree,-7.200083,52.598471
-9.08722,52.577,dias2014xhvj,-9.035784,52.57387
-9.08722,52.577,dias2014xhvj,-9.080624,52.527193
-6.35681,53.68278,dias2014pslq,-6.308397,53.723098
-6.34798,53.6906,dias2014twhf,-6.308397,53.723098
-6.35681,53.68278,dias2014pslq,-6.37141,53.643285
-6.41499,53.66556,dias2014rrna,-6.37141,53.643285
-6.34798,53.6906,dias2014twhf,-6.37141,53.643285
-6.41499,53.66556,dias2014rrna,-6.439876,53.665196
-6.35681,53.68278,dias2014pslq,-6.397679,53.68281
-6.41499,53.66556,dias2014rrna,-6.397679,53.68281
-6.34798,53.6906,dias2014twhf,-6.397679,53.68281
-6.88284,53.4854,dias2014gyah,-6.856989,53.442633
-6.88284,53.4854,dias2014gyah,-6.834651,53.497452
-8.17115,54.11401,dias2013ounh,-8.182796,54.099039
-8.18018,54.11798,dias2013tsuh,-8.182796,54.099039
-8.17511,54.11614,dias2014cmzm,-8.182796,54.099039
-8.1859,54.11241,dias2014kmyn,-8.182796,54.099039
-8.1838,54.11044,dias2014qhgf,-8.182796,54.099039
-8.1917,54.10468,dias2014wnnq,-8.182796,54.099039
-8.17115,54.11401,dias2013ounh,-8.183134,54.098751
-8.18018,54.11798,dias2013tsuh,-8.183134,54.098751
-8.17511,54.11614,dias2014cmzm,-8.183134,54.098751
-8.1859,54.11241,dias2014kmyn,-8.183134,54.098751
-8.1838,54.11044,dias2014qhgf,-8.183134,54.098751
-8.1917,54.10468,dias2014wnnq,-8.183134,54.098751
-7.52724,54.55046,dias2013yugn,-7.513353,54.594265
-7.35094,53.62545,dias2014qvqq,-7.328323,53.613267
-7.35094,53.62545,dias2014qvqq,-7.355447,53.600614
-8.23854,51.88473,dias2014tpbz,-8.26059062182,51.8921622554
-6.59969,54.31406,dias2013qvol,-6.614601,54.305642
-6.59969,54.31406,dias2013qvol,-6.583999,54.306512
-6.56038,54.25019,dias2013tyau,-6.583999,54.306512
-6.55995,54.24979,dias2014bnmg,-6.583999,54.306512
-6.57423,54.24878,dias2014hiyr,-6.583999,54.306512
-6.59969,54.31406,dias2013qvol,-6.586716,54.251849
-6.56038,54.25019,dias2013tyau,-6.586716,54.251849
-6.55995,54.24979,dias2014bnmg,-6.586716,54.251849
-6.57423,54.24878,dias2014hiyr,-6.586716,54.251849
-6.56038,54.25019,dias2013tyau,-6.582737,54.238074
-6.55995,54.24979,dias2014bnmg,-6.582737,54.238074
-6.57423,54.24878,dias2014hiyr,-6.582737,54.238074
-8.23854,51.88473,dias2014tpbz,-8.224653,51.905046
-5.88553,54.43264,dias2014dixc,-5.907264,54.420773
-5.88553,54.43264,dias2014dixc,-5.89931,54.414529
-5.93859,54.50089,dias2014rrpl,-5.938125,54.489477
-5.88553,54.43264,dias2014dixc,-5.863787,54.495758
-5.93859,54.50089,dias2014rrpl,-5.927785,54.50423
-5.73839,54.63351,dias2014igre,-5.760448,54.617476
-5.73839,54.63351,dias2014igre,-5.729835,54.609936
-7.40236,54.24609,dias2014miwo,-7.382784,54.226741
-7.40282,54.24593,dias2014sgdl,-7.382784,54.226741
-7.52724,54.55046,dias2013yugn,-7.573405,54.539704
-7.40236,54.24609,dias2014miwo,-7.420641,54.268906
-7.40282,54.24593,dias2014sgdl,-7.420641,54.268906
-9.02788,53.31938,dias2013mmlz,-9.042555,53.301873
-9.02788,53.31938,dias2013mmlz,-9.007666,53.309199
-7.17621,52.59248,dias2014qtwi,-7.178395,52.61665
-7.17819,52.59431,dias2014sree,-7.178395,52.61665
-7.17621,52.59248,dias2014qtwi,-7.200083,52.598471
-7.17819,52.59431,dias2014sree,-7.200083,52.598471
-9.08722,52.577,dias2014xhvj,-9.035784,52.57387
-9.08722,52.577,dias2014xhvj,-9.080624,52.527193
-6.35681,53.68278,dias2014pslq,-6.308397,53.723098
-6.34798,53.6906,dias2014twhf,-6.308397,53.723098
-6.35681,53.68278,dias2014pslq,-6.37141,53.643285
-6.41499,53.66556,dias2014rrna,-6.37141,53.643285
-6.34798,53.6906,dias2014twhf,-6.37141,53.643285
-6.41499,53.66556,dias2014rrna,-6.439876,53.665196
-6.35681,53.68278,dias2014pslq,-6.397679,53.68281
-6.41499,53.66556,dias2014rrna,-6.397679,53.68281
-6.34798,53.6906,dias2014twhf,-6.397679,53.68281
-6.88284,53.4854,dias2014gyah,-6.856989,53.442633
-6.88284,53.4854,dias2014gyah,-6.834651,53.497452
-8.17115,54.11401,dias2013ounh,-8.182796,54.099039
-8.18018,54.11798,dias2013tsuh,-8.182796,54.099039
-8.17511,54.11614,dias2014cmzm,-8.182796,54.099039
-8.1859,54.11241,dias2014kmyn,-8.182796,54.099039
-8.1838,54.11044,dias2014qhgf,-8.182796,54.099039
-8.1917,54.10468,dias2014wnnq,-8.182796,54.099039
-8.17115,54.11401,dias2013ounh,-8.183134,54.098751
-8.18018,54.11798,dias2013tsuh,-8.183134,54.098751
-8.17511,54.11614,dias2014cmzm,-8.183134,54.098751
-8.1859,54.11241,dias2014kmyn,-8.183134,54.098751
-8.1838,54.11044,dias2014qhgf,-8.183134,54.098751
-8.1917,54.10468,dias2014wnnq,-8.183134,54.098751
-7.52724,54.55046,dias2013yugn,-7.513353,54.594265
-7.35094,53.62545,dias2014qvqq,-7.328323,53.613267
-7.35094,53.62545,dias2014qvqq,-7.355447,53.600614
-8.23854,51.88473,dias2014tpbz,-8.26059062182,51.8921622554
-6.59969,54.31406,dias2013qvol,-6.614601,54.305642
-6.57423,54.24878,dias2014hiyr,-6.614601,54.305642
-6.59969,54.31406,dias2013qvol,-6.583999,54.306512
-6.56038,54.25019,dias2013tyau,-6.583999,54.306512
-6.55995,54.24979,dias2014bnmg,-6.583999,54.306512
-6.57423,54.24878,dias2014hiyr,-6.583999,54.306512
-6.59969,54.31406,dias2013qvol,-6.586716,54.251849
-6.56038,54.25019,dias2013tyau,-6.586716,54.251849
-6.55995,54.24979,dias2014bnmg,-6.586716,54.251849
-6.57423,54.24878,dias2014hiyr,-6.586716,54.251849
-6.56038,54.25019,dias2013tyau,-6.582737,54.238074
-6.55995,54.24979,dias2014bnmg,-6.582737,54.238074
-6.57423,54.24878,dias2014hiyr,-6.582737,54.238074
-8.23854,51.88473,dias2014tpbz,-8.224653,51.905046
-5.88553,54.43264,dias2014dixc,-5.907264,54.420773
-5.88553,54.43264,dias2014dixc,-5.89931,54.414529
-5.93859,54.50089,dias2014rrpl,-5.938125,54.489477
-5.88553,54.43264,dias2014dixc,-5.863787,54.495758
-5.93859,54.50089,dias2014rrpl,-5.927785,54.50423
-5.73839,54.63351,dias2014igre,-5.760448,54.617476
-5.73839,54.63351,dias2014igre,-5.729835,54.609936
-7.40236,54.24609,dias2014miwo,-7.382784,54.226741
-7.40282,54.24593,dias2014sgdl,-7.382784,54.226741
-7.52724,54.55046,dias2013yugn,-7.573405,54.539704
-7.40236,54.24609,dias2014miwo,-7.420641,54.268906
-7.40282,54.24593,dias2014sgdl,-7.420641,54.268906
-9.02788,53.31938,dias2013mmlz,-9.042555,53.301873
-9.02788,53.31938,dias2013mmlz,-9.007666,53.309199
-7.17621,52.59248,dias2014qtwi,-7.178395,52.61665
-7.17819,52.59431,dias2014sree,-7.178395,52.61665
-7.17621,52.59248,dias2014qtwi,-7.200083,52.598471
-7.17819,52.59431,dias2014sree,-7.200083,52.598471
-9.08722,52.577,dias2014xhvj,-9.035784,52.57387
-9.08722,52.577,dias2014xhvj,-9.080624,52.527193
-6.35681,53.68278,dias2014pslq,-6.308397,53.723098
-6.34798,53.6906,dias2014twhf,-6.308397,53.723098
-6.35681,53.68278,dias2014pslq,-6.37141,53.643285
-6.41499,53.66556,dias2014rrna,-6.37141,53.643285
-6.34798,53.6906,dias2014twhf,-6.37141,53.643285
-6.41499,53.66556,dias2014rrna,-6.439876,53.665196
-6.35681,53.68278,dias2014pslq,-6.397679,53.68281
-6.41499,53.66556,dias2014rrna,-6.397679,53.68281
-6.34798,53.6906,dias2014twhf,-6.397679,53.68281
-6.88284,53.4854,dias2014gyah,-6.856989,53.442633
-6.88284,53.4854,dias2014gyah,-6.834651,53.497452
-8.17115,54.11401,dias2013ounh,-8.182796,54.099039
-8.18018,54.11798,dias2013tsuh,-8.182796,54.099039
-8.17511,54.11614,dias2014cmzm,-8.182796,54.099039
-8.1859,54.11241,dias2014kmyn,-8.182796,54.099039
-8.1838,54.11044,dias2014qhgf,-8.182796,54.099039
-8.1917,54.10468,dias2014wnnq,-8.182796,54.099039
-8.17115,54.11401,dias2013ounh,-8.183134,54.098751
-8.18018,54.11798,dias2013tsuh,-8.183134,54.098751
-8.17511,54.11614,dias2014cmzm,-8.183134,54.098751
-8.1859,54.11241,dias2014kmyn,-8.183134,54.098751
-8.1838,54.11044,dias2014qhgf,-8.183134,54.098751
-8.1917,54.10468,dias2014wnnq,-8.183134,54.098751
-7.52724,54.55046,dias2013yugn,-7.513353,54.594265
-7.35094,53.62545,dias2014qvqq,-7.328323,53.613267
-7.35094,53.62545,dias2014qvqq,-7.355447,53.600614
-8.23854,51.88473,dias2014tpbz,-8.26059062182,51.8921622554
-6.59969,54.31406,dias2013qvol,-6.614601,54.305642
-6.57423,54.24878,dias2014hiyr,-6.614601,54.305642
-6.59969,54.31406,dias2013qvol,-6.583999,54.306512
-6.56038,54.25019,dias2013tyau,-6.583999,54.306512
-6.55995,54.24979,dias2014bnmg,-6.583999,54.306512
-6.57423,54.24878,dias2014hiyr,-6.583999,54.306512
-6.59969,54.31406,dias2013qvol,-6.586716,54.251849
-6.56038,54.25019,dias2013tyau,-6.586716,54.251849
-6.55995,54.24979,dias2014bnmg,-6.586716,54.251849
-6.57423,54.24878,dias2014hiyr,-6.586716,54.251849
-6.56038,54.25019,dias2013tyau,-6.582737,54.238074
-6.55995,54.24979,dias2014bnmg,-6.582737,54.238074
-6.57423,54.24878,dias2014hiyr,-6.582737,54.238074
-8.23854,51.88473,dias2014tpbz,-8.224653,51.905046
-5.88553,54.43264,dias2014dixc,-5.907264,54.420773
-5.88553,54.43264,dias2014dixc,-5.89931,54.414529
-5.93859,54.50089,dias2014rrpl,-5.938125,54.489477
-5.88553,54.43264,dias2014dixc,-5.863787,54.495758
-5.93859,54.50089,dias2014rrpl,-5.927785,54.50423
-5.73839,54.63351,dias2014igre,-5.760448,54.617476
-5.73839,54.63351,dias2014igre,-5.729835,54.609936
-7.40236,54.24609,dias2014miwo,-7.382784,54.226741
-7.40282,54.24593,dias2014sgdl,-7.382784,54.226741
-7.52724,54.55046,dias2013yugn,-7.573405,54.539704
-7.40236,54.24609,dias2014miwo,-7.420641,54.268906
-7.40282,54.24593,dias2014sgdl,-7.420641,54.268906
-9.02788,53.31938,dias2013mmlz,-9.042555,53.301873
-9.02788,53.31938,dias2013mmlz,-9.007666,53.309199
-7.17621,52.59248,dias2014qtwi,-7.178395,52.61665
-7.17819,52.59431,dias2014sree,-7.178395,52.61665
-7.17621,52.59248,dias2014qtwi,-7.200083,52.598471
-7.17819,52.59431,dias2014sree,-7.200083,52.598471
-9.08722,52.577,dias2014xhvj,-9.035784,52.57387
-9.08722,52.577,dias2014xhvj,-9.080624,52.527193
-6.35681,53.68278,dias2014pslq,-6.308397,53.723098
-6.34798,53.6906,dias2014twhf,-6.308397,53.723098
-6.35681,53.68278,dias2014pslq,-6.37141,53.643285
-6.41499,53.66556,dias2014rrna,-6.37141,53.643285
-6.34798,53.6906,dias2014twhf,-6.37141,53.643285
-6.41499,53.66556,dias2014rrna,-6.439876,53.665196
-6.35681,53.68278,dias2014pslq,-6.397679,53.68281
-6.41499,53.66556,dias2014rrna,-6.397679,53.68281
-6.34798,53.6906,dias2014twhf,-6.397679,53.68281
-6.88284,53.4854,dias2014gyah,-6.856989,53.442633
-6.88284,53.4854,dias2014gyah,-6.834651,53.497452
-8.17115,54.11401,dias2013ounh,-8.182796,54.099039
-8.18018,54.11798,dias2013tsuh,-8.182796,54.099039
-8.17511,54.11614,dias2014cmzm,-8.182796,54.099039
-8.1859,54.11241,dias2014kmyn,-8.182796,54.099039
-8.1838,54.11044,dias2014qhgf,-8.182796,54.099039
-8.1917,54.10468,dias2014wnnq,-8.182796,54.099039
-8.17115,54.11401,dias2013ounh,-8.183134,54.098751
-8.18018,54.11798,dias2013tsuh,-8.183134,54.098751
-8.17511,54.11614,dias2014cmzm,-8.183134,54.098751
-8.1859,54.11241,dias2014kmyn,-8.183134,54.098751
-8.1838,54.11044,dias2014qhgf,-8.183134,54.098751
-8.1917,54.10468,dias2014wnnq,-8.183134,54.098751
-7.52724,54.55046,dias2013yugn,-7.513353,54.594265
-7.35094,53.62545,dias2014qvqq,-7.328323,53.613267
-7.35094,53.62545,dias2014qvqq,-7.355447,53.600614
-8.23854,51.88473,dias2014tpbz,-8.26059062182,51.8921622554
-6.59969,54.31406,dias2013qvol,-6.614601,54.305642
-6.57423,54.24878,dias2014hiyr,-6.614601,54.305642
-6.59969,54.31406,dias2013qvol,-6.583999,54.306512
-6.56038,54.25019,dias2013tyau,-6.583999,54.306512
-6.55995,54.24979,dias2014bnmg,-6.583999,54.306512
-6.57423,54.24878,dias2014hiyr,-6.583999,54.306512
-6.59969,54.31406,dias2013qvol,-6.586716,54.251849
-6.56038,54.25019,dias2013tyau,-6.586716,54.251849
-6.55995,54.24979,dias2014bnmg,-6.586716,54.251849
-6.57423,54.24878,dias2014hiyr,-6.586716,54.251849
-6.56038,54.25019,dias2013tyau,-6.582737,54.238074
-6.55995,54.24979,dias2014bnmg,-6.582737,54.238074
-6.57423,54.24878,dias2014hiyr,-6.582737,54.238074
-8.23854,51.88473,dias2014tpbz,-8.224653,51.905046
-5.88553,54.43264,dias2014dixc,-5.907264,54.420773
-5.88553,54.43264,dias2014dixc,-5.89931,54.414529
-5.93859,54.50089,dias2014rrpl,-5.938125,54.489477
-5.88553,54.43264,dias2014dixc,-5.863787,54.495758
-5.93859,54.50089,dias2014rrpl,-5.863787,54.495758
-5.93859,54.50089,dias2014rrpl,-5.927785,54.50423
-5.73839,54.63351,dias2014igre,-5.760448,54.617476
-5.73839,54.63351,dias2014igre,-5.729835,54.609936
-7.40236,54.24609,dias2014miwo,-7.382784,54.226741
-7.40282,54.24593,dias2014sgdl,-7.382784,54.226741
-7.52724,54.55046,dias2013yugn,-7.573405,54.539704
-7.40236,54.24609,dias2014miwo,-7.420641,54.268906
-7.40282,54.24593,dias2014sgdl,-7.420641,54.268906
-9.02788,53.31938,dias2013mmlz,-9.042555,53.301873
-9.02788,53.31938,dias2013mmlz,-9.007666,53.309199
-7.17621,52.59248,dias2014qtwi,-7.178395,52.61665
-7.17819,52.59431,dias2014sree,-7.178395,52.61665
-7.17621,52.59248,dias2014qtwi,-7.200083,52.598471
-7.17819,52.59431,dias2014sree,-7.200083,52.598471
-9.08722,52.577,dias2014xhvj,-9.035784,52.57387
-9.08722,52.577,dias2014xhvj,-9.080624,52.527193
-6.35681,53.68278,dias2014pslq,-6.308397,53.723098
-6.34798,53.6906,dias2014twhf,-6.308397,53.723098
-6.35681,53.68278,dias2014pslq,-6.37141,53.643285
-6.41499,53.66556,dias2014rrna,-6.37141,53.643285
-6.34798,53.6906,dias2014twhf,-6.37141,53.643285
-6.41499,53.66556,dias2014rrna,-6.439876,53.665196
-6.35681,53.68278,dias2014pslq,-6.397679,53.68281
-6.41499,53.66556,dias2014rrna,-6.397679,53.68281
-6.34798,53.6906,dias2014twhf,-6.397679,53.68281
-6.88284,53.4854,dias2014gyah,-6.856989,53.442633
-6.88284,53.4854,dias2014gyah,-6.834651,53.497452
-8.17115,54.11401,dias2013ounh,-8.182796,54.099039
-8.18018,54.11798,dias2013tsuh,-8.182796,54.099039
-8.17511,54.11614,dias2014cmzm,-8.182796,54.099039
-8.1859,54.11241,dias2014kmyn,-8.182796,54.099039
-8.1838,54.11044,dias2014qhgf,-8.182796,54.099039
-8.1917,54.10468,dias2014wnnq,-8.182796,54.099039
-8.17115,54.11401,dias2013ounh,-8.183134,54.098751
-8.18018,54.11798,dias2013tsuh,-8.183134,54.098751
-8.17511,54.11614,dias2014cmzm,-8.183134,54.098751
-8.1859,54.11241,dias2014kmyn,-8.183134,54.098751
-8.1838,54.11044,dias2014qhgf,-8.183134,54.098751
-8.1917,54.10468,dias2014wnnq,-8.183134,54.098751
-7.52724,54.55046,dias2013yugn,-7.513353,54.594265
-7.35094,53.62545,dias2014qvqq,-7.328323,53.613267
-7.35094,53.62545,dias2014qvqq,-7.355447,53.600614
-8.23854,51.88473,dias2014tpbz,-8.26059062182,51.8921622554
-6.59969,54.31406,dias2013qvol,-6.614601,54.305642
-6.57423,54.24878,dias2014hiyr,-6.614601,54.305642
-6.59969,54.31406,dias2013qvol,-6.583999,54.306512
-6.56038,54.25019,dias2013tyau,-6.583999,54.306512
-6.55995,54.24979,dias2014bnmg,-6.583999,54.306512
-6.57423,54.24878,dias2014hiyr,-6.583999,54.306512
-6.59969,54.31406,dias2013qvol,-6.586716,54.251849
-6.56038,54.25019,dias2013tyau,-6.586716,54.251849
-6.55995,54.24979,dias2014bnmg,-6.586716,54.251849
-6.57423,54.24878,dias2014hiyr,-6.586716,54.251849
-6.56038,54.25019,dias2013tyau,-6.582737,54.238074
-6.55995,54.24979,dias2014bnmg,-6.582737,54.238074
-6.57423,54.24878,dias2014hiyr,-6.582737,54.238074
-8.23854,51.88473,dias2014tpbz,-8.224653,51.905046
-5.88553,54.43264,dias2014dixc,-5.907264,54.420773
-5.88553,54.43264,dias2014dixc,-5.89931,54.414529
-5.88553,54.43264,dias2014dixc,-5.938125,54.489477
-5.93859,54.50089,dias2014rrpl,-5.938125,54.489477
-5.88553,54.43264,dias2014dixc,-5.863787,54.495758
-5.93859,54.50089,dias2014rrpl,-5.863787,54.495758
-5.93859,54.50089,dias2014rrpl,-5.927785,54.50423
-5.73839,54.63351,dias2014igre,-5.760448,54.617476
-5.73839,54.63351,dias2014igre,-5.729835,54.609936
-7.40236,54.24609,dias2014miwo,-7.382784,54.226741
-7.40282,54.24593,dias2014sgdl,-7.382784,54.226741
-7.52724,54.55046,dias2013yugn,-7.573405,54.539704
-7.40236,54.24609,dias2014miwo,-7.420641,54.268906
-7.40282,54.24593,dias2014sgdl,-7.420641,54.268906
-9.02788,53.31938,dias2013mmlz,-9.042555,53.301873
-9.02788,53.31938,dias2013mmlz,-9.007666,53.309199
-7.17621,52.59248,dias2014qtwi,-7.178395,52.61665
-7.17819,52.59431,dias2014sree,-7.178395,52.61665
-7.17621,52.59248,dias2014qtwi,-7.200083,52.598471
-7.17819,52.59431,dias2014sree,-7.200083,52.598471
-9.08722,52.577,dias2014xhvj,-9.035784,52.57387
-9.08722,52.577,dias2014xhvj,-9.080624,52.527193
-6.35681,53.68278,dias2014pslq,-6.308397,53.723098
-6.34798,53.6906,dias2014twhf,-6.308397,53.723098
